"Time (s)"	"Sound pressure level (dB)"
0.000000000E0	6.322767536E1
1.055766251E-1	6.035672089E1
2.109118334E-1	5.846797743E1
3.164240418E-1	6.007745711E1
4.223928750E-1	6.233933179E1
5.275832501E-1	6.005572490E1
6.337573333E-1	5.822845857E1
7.390122917E-1	6.265552778E1
8.437117084E-1	6.062321392E1
9.499584583E-1	6.098523956E1
1.056054417E0	6.232465675E1
1.158050667E0	6.847379421E1
1.263700333E0	6.161892685E1
1.367962750E0	6.624596876E1
1.474070375E0	6.611768444E1
1.580572542E0	6.922797639E1
1.685800833E0	6.151261978E1
1.791722375E0	6.025628962E1
1.898493833E0	6.394120303E1
2.001276292E0	6.296214750E1
2.106502625E0	6.339131346E1
2.209698708E0	7.194916380E1
2.316386583E0	8.497189367E1
2.422198583E0	8.574694057E1
2.525248542E0	7.499192927E1
2.631770042E0	8.195148606E1
2.734635958E0	8.006751660E1
2.840133792E0	7.857154613E1
2.942005125E0	8.628480799E1
3.048474667E0	7.708014880E1
3.153260417E0	7.986101938E1
3.258853792E0	8.239746440E1
3.364493333E0	8.478138004E1
3.469862917E0	8.873657582E1
3.575589333E0	8.208792635E1
3.679369625E0	8.888608127E1
3.785917375E0	8.670494104E1
3.892360417E0	8.673533569E1
3.998852208E0	8.705931465E1
4.103216083E0	8.661637376E1
4.209686750E0	8.641727696E1
4.316269917E0	8.876939684E1
4.422090000E0	8.644367296E1
4.524271625E0	8.784569822E1
4.632468333E0	8.543838698E1
4.736424958E0	8.482171334E1
4.840909833E0	8.842607134E1
4.948800333E0	8.512915967E1
5.053211333E0	9.083117571E1
5.159496833E0	8.749929695E1
5.265969583E0	8.735254842E1
5.369811333E0	8.728638864E1
5.474346000E0	8.717348379E1
5.580803208E0	8.728795585E1
5.686488417E0	8.417508349E1
5.791153250E0	9.014029821E1
5.893243250E0	8.720312801E1
5.999771333E0	8.697976376E1
6.105561208E0	8.482777676E1
6.209660292E0	8.867433418E1
6.316353917E0	8.869529462E1
6.422075583E0	8.791136717E1
6.524765750E0	8.975631966E1
6.628859625E0	8.633886894E1
6.734361083E0	8.735351321E1
6.836512125E0	8.661986544E1
6.941432208E0	8.721750620E1
7.043527792E0	8.761490242E1
7.145769792E0	8.962229804E1
7.249895208E0	8.674525830E1
7.353200833E0	8.778818693E1
7.458378667E0	8.981468994E1
7.560542417E0	8.802942243E1
7.667162667E0	8.782212121E1
7.769924917E0	8.816959434E1
7.875209083E0	8.480268429E1
7.977336125E0	8.954524371E1
8.083810333E0	8.812654435E1
8.186478625E0	8.598536437E1
8.292072417E0	8.886081202E1
8.394208500E0	8.976299897E1
8.497048542E0	8.953987082E1
8.603233750E0	8.727417047E1
8.709708458E0	8.743271110E1
8.816307917E0	8.863920495E1
8.922089625E0	8.613229025E1
9.025710333E0	8.266179603E1
9.127926250E0	8.587531319E1
9.234454000E0	7.703646175E1
9.336552833E0	7.043718408E1
9.442640583E0	6.323935226E1
9.544595000E0	5.942150180E1
9.649919667E0	6.318001549E1
9.753195042E0	6.031180525E1
9.859239250E0	5.715595546E1
9.961357500E0	5.977468531E1
1.006790354E1	6.086697747E1
1.017396496E1	5.932546965E1
1.027619875E1	5.985858607E1
1.037811700E1	6.248348529E1
1.048470779E1	7.129610006E1
1.059031763E1	7.805550308E1
1.069301350E1	8.606412168E1
1.079895158E1	8.249851620E1
1.090546754E1	8.883796853E1
1.100980950E1	8.713473729E1
1.111561775E1	8.985368334E1
1.122209904E1	8.322709318E1
1.132861829E1	8.569014978E1
1.143229575E1	8.566306589E1
1.153892933E1	9.083115817E1
1.164536925E1	8.985180993E1
1.174935033E1	8.730276963E1
1.185345554E1	9.113911472E1
1.196011817E1	8.788561565E1
1.206557712E1	8.873022200E1
1.217208246E1	8.297923872E1
1.227682796E1	7.332046738E1
1.238325496E1	8.560991940E1
1.248649779E1	8.344495072E1
1.259315854E1	8.956763137E1
1.269575000E1	8.913499935E1
1.279997133E1	8.744097166E1
1.290549354E1	9.015148555E1
1.301045596E1	8.929820767E1
1.311646133E1	8.650546974E1
1.322212804E1	8.998506383E1
1.332730838E1	8.741059463E1
1.343277275E1	8.744498068E1
1.353934304E1	9.061047252E1
1.364402642E1	8.837665763E1
1.374608833E1	8.697985125E1
1.384992596E1	8.869006835E1
1.395584742E1	8.234997687E1
1.406081850E1	7.431529026E1
1.416285621E1	7.071439181E1
1.426449296E1	8.003464992E1
1.437022467E1	7.610155783E1
1.447403242E1	8.397237314E1
1.457969713E1	8.724112765E1
1.468628625E1	8.756856771E1
1.479134196E1	8.676881472E1
1.489666608E1	8.040920956E1
1.500342400E1	8.795633451E1
1.510967033E1	8.448283550E1
1.521317004E1	8.883357130E1
1.531642492E1	8.600838636E1
1.542211292E1	8.629157205E1
1.552810762E1	8.742376625E1
1.562999979E1	8.728692810E1
1.573658921E1	8.791983438E1
1.584137304E1	8.634665415E1
1.594679133E1	9.015649762E1
1.604992217E1	8.776563436E1
1.615646642E1	9.044728742E1
1.626163467E1	8.166683479E1
1.636716733E1	7.494931028E1
1.647373833E1	8.201090283E1
1.657845992E1	8.177049282E1
1.668039921E1	8.825270620E1
1.678651862E1	8.350952914E1
1.689245658E1	8.956521783E1
1.699721379E1	8.105466633E1
1.710377421E1	8.989485611E1
1.720965812E1	8.539904261E1
1.731394438E1	8.932175520E1
1.741644596E1	8.397354102E1
1.752209504E1	8.843096282E1
1.762863342E1	8.747088599E1
1.773430588E1	8.698407827E1
1.784087033E1	8.731503308E1
1.794570317E1	8.542741250E1
1.805123129E1	8.946340605E1
1.815770142E1	8.027353871E1
1.826239492E1	8.863670364E1
1.836790987E1	8.627784528E1
1.847403629E1	8.309227672E1
1.857923608E1	8.858978935E1
1.868462842E1	8.211721508E1
1.878646658E1	8.860939591E1
