"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.114991668E-2	-5.805216564E-1	1.189088313E0	-9.599338853E-1	1.634750585E0
2.108191664E-2	-4.483881775E-1	7.905339083E-1	-1.348325245E0	1.626030991E0
3.101491660E-2	-4.997999673E-1	4.551536983E-1	-1.558979959E0	1.699230241E0
4.094791668E-2	-6.601263812E-1	2.629127428E-1	-1.337803765E0	1.514796641E0
5.088091665E-2	-6.797179158E-1	5.494628549E-2	-9.438300687E-1	1.164410039E0
6.081391661E-2	-5.458750033E-1	-1.587641841E-1	-5.906500572E-1	8.197884334E-1
7.074691670E-2	-2.506423607E-1	-2.061450496E-1	-3.762349981E-1	4.968602905E-1
8.067991666E-2	1.932431683E-2	-1.384711298E-1	-6.486257851E-2	1.541260429E-1
9.061291663E-2	3.479999632E-1	-2.849552840E-2	2.914661586E-1	4.548279797E-1
1.005459166E-1	6.134764177E-1	2.198126239E-1	1.793329346E-1	6.758928954E-1
1.104789167E-1	8.414611101E-1	8.752317041E-2	3.436373556E-1	9.131285437E-1
1.204109166E-1	8.417384143E-1	-4.445725769E-2	6.948187888E-1	1.092370429E0
1.303439166E-1	-4.848379657E-1	-8.432766706E-2	4.432066673E-1	6.622772519E-1
1.402769167E-1	2.529749613E-1	3.087946746E-1	2.432225364E-1	4.674480552E-1
1.502099166E-1	7.829679036E-1	6.025125960E-1	4.633064711E-1	1.091197990E0
1.601429166E-1	7.971901593E-1	3.290508914E-1	5.776306468E-1	1.037999905E0
1.700759167E-1	6.125674680E-1	-7.040880874E-2	7.096215999E-1	9.400846336E-1
1.800089166E-1	6.794251896E-1	-6.677672303E-1	1.052092436E0	1.419306223E0
1.899419166E-1	6.149120553E-1	-1.144410323E0	1.123130844E0	1.717327783E0
1.998749167E-1	4.638798637E-1	-1.112963997E0	1.095894513E0	1.629373552E0
2.098079167E-1	6.268897842E-1	-7.949795464E-1	9.986143863E-1	1.422045700E0
2.197399166E-1	5.794698520E-1	-4.898855746E-1	6.760901570E-1	1.016302655E0
2.296729167E-1	5.541152651E-1	-8.908525407E-2	1.971137327E-1	5.948392498E-1
2.396059167E-1	3.705860031E-1	4.038059355E-1	-4.165264070E-1	6.883948482E-1
2.495389166E-1	5.857155188E-1	7.313808435E-1	-8.036828345E-1	1.234458062E0
2.594719166E-1	8.297391969E-1	5.873004066E-1	-8.170542473E-1	1.304211082E0
2.694049167E-1	7.785776679E-1	1.509123968E-1	-7.146683317E-1	1.067571338E0
2.793379166E-1	7.687077872E-1	-8.359950598E-1	3.197520643E-1	1.179847780E0
2.892709166E-1	3.423376657E-2	-2.147289815E-1	2.912866491E-1	3.634947018E-1
2.992039167E-1	1.497478507E-1	6.498621058E-1	-1.314076933E0	1.473615744E0
3.091369167E-1	9.549185092E-1	6.686087908E-1	-2.960076910E-1	1.202716769E0
3.190689166E-1	1.100949358E0	4.986974747E-1	1.517527878E-2	1.208726168E0
3.290019167E-1	4.728058211E-1	2.125333520E-1	-3.303466344E-1	6.146907101E-1
3.389349167E-1	-3.765242891E-1	4.711182050E-2	-3.891222614E-1	5.435128317E-1
3.488679166E-1	-7.727135684E-1	7.124649547E-2	-3.095983744E-2	7.766085459E-1
3.588009167E-1	-3.327092019E-1	4.014140589E-1	5.660104752E-1	7.695430577E-1
3.687339167E-1	2.891335947E-1	7.287950586E-1	6.035069150E-1	9.894246153E-1
3.786669166E-1	5.485309549E-1	7.291966161E-1	1.198569866E0	1.506380973E0
3.885999166E-1	9.038809412E-1	7.059375617E-1	8.729156220E-1	1.441294654E0
3.985329167E-1	1.104931750E0	5.615436409E-1	-9.812621891E-2	1.243315804E0
4.084659166E-1	6.730460966E-1	1.175680063E0	-3.927387643E-1	1.410481618E0
4.183979166E-1	4.935237122E-1	8.319867204E-1	-7.640123999E-1	1.232672911E0
