Tiempo_ms	Voltaje_V
0	2.32171
1	2.81569
1	2.79716
2	2.46592
2	2.60052
3	2.35796
3	2.60213
3	2.43611
4	2.52640
4	2.46028
4	2.77782
5	2.47479
5	2.76251
6	3.11147
6	2.46270
6	2.96318
7	3.10986
7	2.56668
7	3.22668
8	3.01152
8	3.07194
9	3.00910
9	2.94303
9	2.99702
10	3.04374
10	3.04455
11	3.19123
11	2.97526
11	2.97204
12	3.18479
12	2.83019
13	3.18559
13	2.86403
14	2.73915
14	2.83905
14	2.75929
15	2.95512
15	2.67787
16	2.41114
16	2.79877
17	2.49820
17	2.50545
17	2.63839
18	2.88256
18	2.62228
19	2.49740
19	2.62791
19	2.50142
20	2.62389
20	2.91322
21	2.65692
21	2.54976
22	2.62872
22	2.47317
23	2.55138
23	2.69886
23	2.54090
24	2.91403
24	2.72303
25	3.08886
25	2.80360
26	3.09778
26	3.06953
27	3.23313
27	3.08645
28	3.17109
28	3.28953
29	3.14209
29	2.82374
30	3.22588
30	2.52801
30	2.92773
31	3.15014
31	2.59005
32	2.76412
33	2.81972
33	2.74318
33	2.42564
34	2.74721
34	2.61261
35	2.50787
35	2.72303
36	2.42242
36	2.64403
37	2.82777
37	2.61100
38	2.86161
38	2.94787
39	3.05261
39	2.37488
40	2.99943
40	2.77863
41	2.96640
41	2.66739
42	3.06389
42	3.23716
43	2.86967
43	2.80763
44	3.08081
44	3.10664
94	3.28469
94	3.20171
95	3.30000
95	3.14934
95	3.16545
96	3.13081
96	3.18237
97	3.27664
97	2.75446
97	2.51109
98	2.64886
98	2.61422
98	2.96962
99	2.55863
99	2.61180
100	2.94142
100	2.89228
100	2.47156
101	2.47564
101	2.62469
101	2.56910
102	2.62953
102	2.43047
103	2.68839
103	2.53204
103	2.77299
104	2.31848
104	2.64806
105	2.68028
106	2.46270
106	2.67062
106	2.66256
107	2.58602
107	2.79313
108	2.93901
108	3.16062
108	3.12114
109	3.01071
109	3.05261
110	3.14209
110	2.95915
110	3.04133
111	2.95109
111	3.10744
112	2.99218
112	3.01071
112	2.91484
113	3.05502
113	2.63839
114	2.43692
114	2.90033
115	2.39019
115	2.63919
115	2.50223
116	2.64725
116	2.77138
117	2.76251
117	2.74318
118	2.48450
