Tiempo_ms	Voltaje_V
0	1.94294
1	2.00175
1	2.13716
2	1.95261
2	1.96550
2	2.31929
3	2.19678
3	2.15247
3	2.03881
4	1.93408
4	1.73261
5	2.01062
5	2.24351
5	2.33138
6	2.34104
6	2.59085
7	2.28304
7	2.42483
7	2.68517
8	2.40953
8	2.28948
8	2.37488
9	2.22095
9	2.41355
10	2.54332
10	2.40469
10	2.23142
11	2.33057
11	1.97839
12	2.20081
12	1.98081
12	1.71488
13	2.24028
13	1.89540
14	2.01384
14	2.39744
14	1.68668
15	2.16294
15	1.98322
16	2.00336
16	1.94133
17	1.71891
17	2.00014
17	1.99531
18	1.84943
18	2.12185
19	2.16052
19	2.32976
20	1.86882
20	2.25317
21	2.07754
21	1.99934
21	2.19355
22	2.11138
22	2.02673
23	2.44336
23	2.62872
24	2.35877
24	2.12346
24	2.25720
25	2.31848
26	2.26768
26	2.32735
26	2.39100
27	2.19678
27	2.44014
28	2.42886
28	2.10171
29	1.87204
29	1.80915
30	2.20806
30	2.20967
31	1.97194
31	1.82768
31	2.13635
32	2.13152
33	1.84137
33	2.01303
34	1.74791
34	1.95986
35	1.85104
35	2.14199
36	1.94294
36	1.83171
36	2.14844
37	2.56668
37	1.96308
38	1.88090
38	1.86721
39	2.16133
39	2.32332
40	2.06465
40	2.23223
41	2.32815
41	2.37085
42	2.44417
42	2.21209
43	2.65450
43	2.31446
44	2.47479
55	2.59005
55	2.24270
56	2.11379
56	2.15891
56	2.38374
57	2.41114
57	2.41758
58	2.35635
58	2.24753
58	2.10976
59	2.36360
59	2.40469
59	2.70048
60	2.32574
60	2.56507
61	2.07512
61	2.45787
61	2.55460
62	2.00095
62	2.19275
63	1.69232
63	2.17583
63	1.72938
64	1.94697
64	1.74953
65	1.91071
65	1.74389
66	1.96872
66	1.91232
67	1.70360
67	1.96147
68	1.79948
68	1.86479
69	2.16616
69	2.24753
70	2.05573
70	1.78336
70	1.75517
71	1.96791
71	1.79464
72	2.02592
72	1.98081
72	2.21934
73	2.47398
73	2.10332
74	2.40953
74	2.11138
75	2.32735
75	2.57474
75	2.22578
76	2.33218
76	2.45626
77	2.52721
77	2.31043
77	2.39100
78	2.37005
78	2.15488
79	2.37730
79	2.11863
80	1.95100
80	1.70441
81	2.11943
81	1.89138
82	2.04607
82	1.71569
82	2.09929
83	2.03156
84	1.75033
84	1.99772
85	1.82607
85	2.10735
86	1.85024
86	2.61905
87	2.06626
87	2.08640
88	1.99450
88	2.38294
89	2.38213
90	2.55540
90	2.48209
91	2.23223
92	2.19194
92	2.40147
93	2.61261
93	2.41597
93	2.42967
94	2.02109
94	2.70853
95	2.32090
95	1.93649
96	1.80753
96	2.30559
97	2.31929
97	2.22014
