Valor_ADC_12bits	Frecuencia
1575	1
1585	1
1594	1
1595	1
1596	1
1600	1
1602	1
1603	1
1604	1
1605	1
1608	1
1610	3
1612	2
1614	1
1615	2
1616	4
1618	1
1619	2
1620	3
1621	1
1622	2
1623	1
1624	2
1625	2
1626	3
1627	4
1628	2
1629	2
1630	5
1631	1
1632	3
1633	3
1635	3
1636	5
1637	1
1638	5
1639	3
1640	4
1641	1
1642	2
1643	6
1644	2
1645	2
1646	1
1647	5
1648	7
1649	2
1650	6
1651	2
1652	6
1653	4
1654	2
1655	1
1656	1
1657	4
1658	5
1659	5
1660	4
1661	2
1662	4
1663	2
1664	5
1665	6
1666	6
1667	4
1668	10
1669	5
1670	3
1671	3
1672	2
1673	3
1674	5
1675	5
1676	2
1677	7
1678	5
1679	1
1680	4
1681	6
1682	7
1683	4
1684	9
1685	2
1686	5
1687	3
1688	1
1689	3
1690	5
1691	7
1692	6
1693	2
1694	1
1695	5
1696	6
1697	2
1698	11
1700	7
1701	6
1702	6
1703	1
1704	11
1705	8
1706	3
1707	2
1708	4
1709	4
1710	10
1711	5
1712	5
1713	5
1714	10
1715	6
1716	4
1717	10
1718	10
1719	2
1720	7
1721	6
1722	8
1723	3
1724	4
1725	7
1726	6
1727	5
1728	9
1729	6
1730	4
1731	4
1732	8
1733	10
1734	8
1735	3
1736	7
1737	7
1738	9
1739	7
1740	9
1741	9
1742	4
1743	2
1744	12
1745	4
1746	6
1747	8
1748	7
1749	6
1750	8
1751	4
1752	7
1753	8
1754	8
1755	6
1756	6
1757	8
1758	7
1759	6
1760	6
1761	2
1762	7
1763	7
1764	9
1765	4
1766	7
1767	4
1768	8
1769	4
1770	9
1771	7
1772	7
1773	11
1774	6
1775	1
1776	8
1777	11
1778	5
1779	6
1780	8
1781	8
1782	10
1783	7
1784	9
1785	7
1786	9
1787	7
1788	4
1789	7
1790	14
1791	14
1792	13
1793	10
1794	8
1795	4
1796	10
1797	2
1798	12
1799	9
1800	12
1801	9
1802	9
1803	5
1804	9
1805	5
1806	5
1807	7
1808	10
1809	8
1810	5
1811	3
1812	7
1813	9
1814	4
1815	7
1816	13
1817	8
1818	11
1819	6
1820	10
1821	13
1822	7
1823	6
1824	11
1825	6
1826	11
1827	10
1828	11
1829	7
1830	9
1831	5
1832	12
1833	9
1834	12
1835	4
1836	4
1837	15
1838	12
1839	3
1840	8
1841	13
1842	14
1843	8
1844	7
1845	12
1846	10
1847	8
1848	10
1849	11
1850	8
1851	11
1852	13
1853	11
1854	8
1855	5
1856	16
1857	10
1858	11
1859	10
1860	10
1861	17
1862	13
1863	7
1864	13
1865	10
1866	7
1867	5
1868	9
1869	10
1870	13
1871	6
1872	9
1873	9
1874	10
1875	12
1876	15
1877	10
1878	4
1879	6
1880	8
1881	11
1882	9
1883	12
1884	10
1885	14
1886	16
1887	10
1888	7
1889	10
1890	12
1891	11
1892	7
1893	5
1894	5
1895	8
1896	6
1897	8
1898	11
1899	4
1900	14
1901	13
1902	5
1903	6
1904	12
1905	12
1906	11
1907	7
1908	18
1909	6
1910	11
1911	6
1912	14
1913	6
1914	8
1915	7
1916	6
1917	6
1918	6
1919	2
1920	20
1921	12
1922	13
1923	8
1924	16
1925	13
1926	10
1927	6
1928	13
1929	15
1930	16
1931	10
1932	12
1933	15
1934	12
1935	12
1936	14
1937	11
1938	12
1939	11
1940	16
1941	11
1942	16
1943	6
1944	8
1945	12
1946	14
1947	11
1948	14
1949	11
1950	19
1951	14
1952	10
1953	8
1954	4
1955	16
1956	16
1957	13
1958	11
1959	6
1960	8
1961	9
1962	8
1963	19
1964	18
1965	14
1966	7
1967	10
1968	10
1969	6
1970	13
1971	9
1972	12
1973	8
1974	12
1975	10
1976	10
1977	12
1978	5
1979	11
1980	10
1981	10
1982	10
1983	11
1984	7
1985	12
1986	11
1987	10
1988	10
1989	11
1990	10
1991	10
1992	17
1993	13
1994	9
1995	15
1996	9
1997	11
1998	10
1999	4
2000	12
2001	9
2002	8
2003	8
2004	11
2005	7
2006	11
2007	10
2008	7
2009	9
2010	11
2011	10
2012	12
2013	12
2014	7
2015	16
2016	9
2017	10
2018	21
2019	11
2020	5
2021	7
2022	8
2023	6
2024	8
2025	10
2026	8
2027	8
2028	13
2029	9
2030	16
2031	11
2032	9
2033	6
2034	12
2035	13
2036	10
2037	11
2038	5
2039	5
2040	12
2041	15
2042	12
2043	13
2044	7
2045	10
2046	4
2048	10
2049	9
2050	12
2051	10
2052	9
2053	8
2054	8
2055	12
2056	16
2057	8
2058	15
2059	10
2060	3
2061	8
2062	12
2063	10
2064	6
2065	11
2066	4
2067	11
2068	6
2069	12
2070	7
2071	9
2072	18
2073	5
2074	9
2075	5
2076	14
2077	6
2078	4
2079	9
2080	12
2081	15
2082	12
2083	16
2084	6
2085	15
2086	11
2087	9
2088	12
2089	11
2090	8
2091	9
2092	16
2093	6
2094	8
2095	6
2096	7
2097	16
2098	8
2099	9
2100	13
2101	13
2102	11
2103	6
2104	13
2105	19
2106	11
2107	11
2108	10
2109	9
2110	11
2111	5
2112	9
2113	10
2114	15
2115	18
2116	10
2117	8
2118	8
2119	11
2120	13
2121	9
2122	5
2123	15
2124	5
2125	9
2126	12
2127	8
2128	17
2129	12
2130	9
2131	14
2132	13
2133	5
2134	16
2135	5
2136	17
2137	11
2138	13
2139	9
2140	17
2141	15
2142	9
2143	9
2144	8
2145	15
2146	7
2147	16
2148	11
2149	7
2150	13
2151	5
2152	9
2153	5
2154	10
2155	10
2156	11
2157	14
2158	9
2159	13
2160	13
2161	11
2162	5
2163	7
2164	13
2165	5
2166	9
2167	6
2168	11
2169	16
2170	8
2171	8
2172	12
2173	9
2174	3
2175	4
2176	11
2177	15
2178	14
2179	16
2180	9
2181	5
2182	7
2183	7
2184	10
2185	7
2186	7
2187	7
2188	8
2189	8
2190	13
2191	9
2192	10
2193	9
2194	11
2195	11
2196	9
2197	12
2198	13
2199	9
2200	7
2201	9
2202	7
2203	11
2204	5
2205	9
2206	9
2207	13
2208	7
2209	4
2210	15
2211	6
2212	9
2213	8
2214	4
2215	6
2216	12
2217	12
2218	13
2219	9
2220	6
2221	7
2222	7
2223	9
2224	7
2225	7
2226	16
2227	13
2228	8
2229	9
2230	6
2231	11
2232	4
2233	12
2234	5
2235	8
2236	14
2237	15
2238	14
2239	8
2240	9
2241	6
2242	13
2243	16
2244	15
2245	11
2246	5
2247	10
2248	12
2249	12
2250	8
2251	11
2252	11
2253	9
2254	9
2255	8
2256	11
2257	14
2258	5
2259	8
2260	9
2261	11
2262	4
2263	6
2264	10
2265	11
2266	12
2267	14
2268	10
2269	11
2270	8
2271	11
2272	9
2273	9
2274	4
2275	11
2276	4
2277	12
2278	12
2279	6
2280	5
2281	5
2282	8
2283	11
2284	10
2285	7
2286	14
2287	10
2288	10
2289	11
2290	7
2291	11
2292	14
2293	5
2294	11
2295	4
2296	6
2297	11
2298	8
2299	7
2300	9
2301	8
2302	11
2303	13
2304	14
2305	10
2306	12
2307	11
2308	14
2309	8
2310	10
2311	10
2312	5
2313	12
2314	8
2315	11
2316	8
2317	9
2318	8
2319	10
2320	6
2321	14
2322	15
2323	10
2324	9
2325	10
2326	15
2327	7
2328	12
2329	14
2330	11
2331	15
2332	13
2333	5
2334	8
2335	11
2336	8
2337	10
2338	9
2339	12
2340	13
2341	6
2342	6
2343	6
2344	10
2345	15
2346	13
2347	12
2348	6
2349	14
2350	17
2351	9
2352	5
2353	6
2354	8
2355	12
2356	10
2357	14
2358	9
2359	6
2360	16
2361	8
2362	12
2363	11
2364	12
2365	13
2366	11
2367	6
2368	12
2369	9
2370	13
2371	10
2372	10
2373	13
2374	12
2375	3
2376	10
2377	12
2378	12
2379	13
2380	6
2381	9
2382	13
2383	6
2384	5
2385	11
2386	8
2387	9
2388	11
2389	10
2390	12
2391	6
2392	18
2393	8
2394	14
2395	12
2396	8
2397	2
2398	6
2399	9
2400	12
2401	9
2402	11
2403	14
2404	6
2405	13
2406	9
2407	7
2408	7
2409	9
2410	8
2411	7
2412	3
2413	7
2414	11
2415	11
2416	11
2417	11
2418	10
2419	14
2420	7
2421	4
2422	15
2423	5
2424	15
2425	15
2426	9
2427	9
2428	4
2429	10
2430	8
2431	3
2432	11
2433	9
2434	11
2435	9
2436	10
2437	14
2438	8
2439	6
2440	16
2441	6
2442	9
2443	10
2444	18
2445	7
2446	13
2447	8
2448	5
2449	14
2450	7
2451	9
2452	10
2453	13
2454	9
2455	1
2456	13
2457	10
2458	12
2459	9
2460	9
2461	14
2462	10
2463	6
2464	13
2465	8
2466	8
2467	8
2468	7
2469	6
2470	14
2471	11
2472	4
2473	14
2474	9
2475	6
2476	6
2477	11
2478	7
2479	10
2480	10
2481	12
2482	16
2483	9
2484	7
2485	9
2486	14
2487	9
2488	12
2489	11
2490	7
2491	10
2492	8
2493	8
2494	11
2495	11
2496	7
2497	11
2498	9
2499	7
2500	11
2501	8
2502	10
2503	14
2504	11
2505	7
2506	9
2507	10
2508	13
2509	7
2510	6
2511	6
2512	12
2513	11
2514	10
2515	7
2516	10
2517	11
2518	10
2519	5
2520	13
2521	9
2522	7
2523	11
2524	8
2525	10
2526	12
2527	15
2528	10
2529	14
2530	11
2531	13
2532	9
2533	9
2534	17
2535	6
2536	8
2537	10
2538	10
2539	15
2540	7
2541	11
2542	6
2543	6
2544	4
2545	19
2546	11
2547	6
2548	7
2549	7
2550	9
2551	8
2552	3
2553	6
2554	7
2555	8
2556	11
2557	7
2560	13
2561	7
2562	8
2563	4
2564	5
2565	9
2566	6
2567	4
2568	11
2569	2
2570	9
2571	8
2572	4
2573	10
2574	6
2575	4
2576	9
2577	7
2578	9
2579	8
2580	14
2581	11
2582	5
2583	7
2584	8
2585	11
2586	5
2587	6
2588	7
2589	8
2590	17
2591	8
2592	3
2593	4
2594	7
2595	9
2596	9
2597	3
2598	8
2599	6
2600	7
2601	5
2602	11
2603	9
2604	6
2605	5
2606	7
2607	6
2608	7
2609	7
2610	10
2611	8
2612	5
2613	8
2614	5
2615	9
2616	12
2617	6
2618	7
2619	6
2620	5
2621	8
2622	8
2623	6
2624	8
2625	4
2626	2
2627	12
2628	7
2629	8
2630	5
2631	5
2632	5
2633	9
2634	9
2635	7
2636	5
2637	10
2638	4
2639	7
2640	5
2641	3
2642	2
2643	10
2644	6
2645	5
2646	5
2647	3
2648	10
2649	5
2650	7
2651	4
2652	6
2653	11
2654	11
2655	5
2656	9
2657	5
2658	7
2659	8
2660	10
2661	6
2662	3
2664	7
2665	1
2666	12
2667	8
2668	2
2669	6
2670	6
2671	6
2672	6
2673	4
2674	3
2675	3
2676	2
2677	6
2678	3
2679	3
2680	8
2681	5
2682	1
2683	4
2684	3
2685	9
2686	7
2687	2
2688	6
2689	3
2690	5
2691	1
2692	4
2693	9
2694	7
2695	6
2696	2
2697	7
2698	4
2699	8
2700	9
2701	1
2702	7
2703	6
2704	3
2706	7
2707	5
2708	2
2709	5
2710	7
2711	9
2712	5
2713	5
2714	4
2715	3
2716	2
2717	4
2718	7
2719	11
2720	5
2721	2
2722	6
2723	6
2724	8
2725	4
2726	5
2727	4
2728	4
2729	3
2730	2
2731	8
2732	2
2733	1
2734	5
2735	4
2736	5
2737	5
2738	3
2739	4
2740	2
2741	5
2742	3
2743	5
2744	4
2745	5
2746	2
2747	4
2748	2
2749	6
2750	4
2751	3
2752	4
2753	2
2754	5
2755	2
2756	2
2757	3
2758	5
2759	3
2760	4
2761	3
2762	5
2763	4
2764	4
2765	5
2766	4
2767	2
2768	1
2769	4
2770	2
2771	4
2772	5
2773	5
2774	2
2775	2
2776	7
2777	4
2778	3
2779	2
2780	1
2781	3
2782	1
2783	5
2784	1
2785	2
2786	5
2787	3
2788	2
2789	4
2790	3
2791	1
2792	1
2793	2
2794	3
2796	2
2797	7
2798	1
2800	2
2801	1
2802	3
2803	4
2804	5
2805	2
2806	3
2807	6
2808	4
2809	3
2812	2
2813	2
2815	4
2816	3
2817	4
2818	4
2819	5
2820	1
2821	1
2822	4
2823	2
2824	4
2825	2
2826	3
2827	1
2829	1
2830	2
2831	5
2833	2
2834	3
2836	5
2837	1
2838	1
2839	2
2841	5
2842	2
2845	2
2846	2
2847	3
2848	1
2849	1
2850	1
2851	1
2852	1
2853	1
2854	2
2855	1
2856	1
2857	1
2858	1
2859	1
2860	2
2861	1
2862	2
2863	2
2864	2
2865	3
2866	4
2867	1
2868	1
2871	2
2872	1
2874	1
2875	3
2876	1
2877	3
2878	2
2879	1
2880	1
2881	1
2883	1
2884	2
2886	2
2887	2
2888	1
2889	2
2890	1
2891	1
2892	1
2893	1
2894	5
2895	2
2896	4
2897	3
2899	1
2900	2
2901	3
2902	1
2906	1
2908	1
2909	1
2911	1
2912	2
2913	2
2914	5
2916	1
2917	1
2919	3
2920	1
2921	2
2922	1
2923	1
2924	1
2926	1
2927	2
2928	1
2930	2
2931	1
2932	1
2933	1
2936	1
2939	1
2940	1
2941	1
2945	1
2946	2
2947	1
2948	1
2949	1
2950	1
2953	1
2955	1
2957	1
2960	1
2962	1
2964	2
2966	3
2969	1
2970	2
2971	2
2974	2
2975	3
2979	1
2985	1
2986	2
2992	1
2995	1
2996	1
3006	2
3018	2
3019	1
3029	1
3030	1
3032	1
3038	1
3040	1
3041	2
3046	1
3048	1
3055	1
3080	1
3087	1
3092	1
3121	1
3125	1
3127	1
3187	1
3240	1
