Valor_ADC_12bits	Frecuencia
2032	1
2037	1
2040	2
2048	1
2049	1
2050	1
2052	1
2054	2
2058	2
2059	1
2062	1
2063	1
2064	1
2065	1
2067	1
2068	3
2069	2
2070	2
2071	1
2072	2
2074	2
2076	2
2077	1
2080	2
2081	2
2082	2
2083	3
2084	4
2085	6
2086	1
2087	2
2088	2
2089	2
2090	3
2091	3
2092	2
2093	3
2094	3
2095	1
2096	4
2097	3
2098	4
2099	1
2100	5
2101	3
2102	3
2103	4
2104	8
2105	4
2106	4
2107	6
2108	3
2109	2
2110	7
2111	1
2112	3
2113	8
2114	8
2115	7
2116	8
2117	6
2119	3
2120	6
2121	4
2122	7
2123	3
2124	6
2125	4
2126	5
2127	3
2128	5
2129	5
2130	4
2131	4
2132	5
2133	3
2134	3
2135	2
2136	8
2137	7
2138	7
2139	2
2140	2
2141	1
2142	12
2143	4
2144	8
2145	6
2146	5
2147	2
2148	4
2149	5
2150	9
2151	4
2152	8
2153	4
2154	5
2155	4
2156	7
2157	5
2158	4
2159	7
2160	9
2161	6
2162	4
2163	3
2164	5
2165	5
2166	2
2167	1
2168	5
2169	7
2170	6
2171	5
2172	11
2173	4
2174	9
2175	3
2176	13
2177	6
2178	7
2179	4
2180	8
2181	1
2182	9
2183	2
2184	8
2185	9
2186	4
2187	6
2188	6
2189	8
2190	1
2191	5
2192	8
2193	10
2194	6
2195	5
2196	6
2197	5
2198	7
2199	6
2200	5
2201	7
2202	5
2203	3
2204	7
2205	6
2206	8
2207	9
2208	7
2209	7
2210	1
2211	6
2212	6
2213	9
2214	11
2215	3
2216	7
2217	7
2218	7
2219	7
2220	7
2221	14
2222	5
2223	6
2224	2
2225	3
2226	7
2227	11
2228	5
2229	1
2230	11
2231	6
2232	9
2233	14
2234	4
2235	6
2236	7
2237	4
2238	9
2239	5
2240	14
2241	2
2242	5
2243	8
2244	6
2245	11
2246	7
2247	5
2248	6
2249	6
2250	8
2251	6
2252	11
2253	9
2254	7
2255	9
2256	10
2257	7
2258	10
2259	4
2260	9
2261	1
2262	6
2263	1
2264	9
2265	7
2266	7
2267	6
2268	10
2269	10
2270	6
2271	3
2272	9
2273	10
2274	15
2275	5
2276	6
2277	9
2278	7
2279	4
2280	10
2281	8
2282	10
2283	7
2284	11
2285	9
2286	10
2287	10
2288	10
2289	11
2290	10
2291	5
2292	11
2293	12
2294	9
2295	7
2296	11
2297	11
2298	15
2299	8
2300	12
2301	12
2302	8
2303	12
2304	11
2305	12
2306	6
2307	9
2308	13
2309	8
2310	13
2311	15
2312	13
2313	2
2314	8
2315	7
2316	14
2317	9
2318	6
2319	8
2320	12
2321	7
2322	11
2323	11
2324	11
2325	9
2326	8
2327	4
2328	7
2329	10
2330	11
2331	10
2332	6
2333	7
2334	13
2335	14
2336	11
2337	6
2338	13
2339	8
2340	11
2341	9
2342	11
2343	9
2344	13
2345	12
2346	16
2347	14
2348	10
2349	8
2350	7
2351	6
2352	12
2353	9
2354	6
2355	7
2356	9
2357	10
2358	9
2359	9
2360	11
2361	13
2362	6
2363	6
2364	10
2365	10
2366	10
2367	11
2368	8
2369	13
2370	5
2371	10
2372	4
2373	7
2374	11
2375	9
2376	5
2377	10
2378	6
2379	18
2380	11
2381	10
2382	11
2383	15
2384	12
2385	15
2386	7
2387	9
2388	14
2389	8
2390	16
2391	7
2392	16
2393	10
2394	16
2395	7
2396	13
2397	6
2398	13
2399	13
2400	10
2401	12
2402	11
2403	10
2404	6
2405	9
2406	17
2407	11
2408	11
2409	9
2410	9
2411	14
2412	8
2413	12
2414	8
2415	9
2416	10
2417	13
2418	13
2419	14
2420	12
2421	10
2422	12
2423	9
2424	8
2425	11
2426	17
2427	9
2428	10
2429	8
2430	6
2431	6
2432	12
2433	16
2434	13
2435	10
2436	10
2437	9
2438	7
2439	9
2440	14
2441	7
2442	21
2443	13
2444	13
2445	10
2446	11
2447	20
2448	4
2449	10
2450	8
2451	11
2452	19
2453	11
2454	12
2455	8
2456	10
2457	10
2458	14
2459	14
2460	11
2461	9
2462	11
2463	9
2464	9
2465	15
2466	4
2467	10
2468	8
2469	13
2470	6
2471	8
2472	18
2473	16
2474	12
2475	13
2476	13
2477	10
2478	6
2479	13
2480	10
2481	9
2482	14
2483	19
2484	11
2485	8
2486	7
2487	9
2488	16
2489	13
2490	7
2491	17
2492	12
2493	19
2494	19
2495	9
2496	15
2497	7
2498	7
2499	9
2500	8
2501	15
2502	8
2503	4
2504	13
2505	12
2506	14
2507	13
2508	11
2509	11
2510	9
2511	12
2512	8
2513	12
2514	16
2515	17
2516	10
2517	10
2518	12
2519	5
2520	10
2521	15
2522	9
2523	13
2524	5
2525	10
2526	3
2527	14
2528	9
2529	6
2530	8
2531	13
2532	8
2533	16
2534	10
2535	4
2536	14
2537	11
2538	14
2539	7
2540	10
2541	13
2542	10
2543	11
2544	9
2545	11
2546	5
2547	9
2548	9
2549	13
2550	11
2551	5
2552	10
2553	14
2554	10
2555	10
2556	8
2557	14
2558	1
2560	9
2561	12
2562	12
2563	12
2564	14
2565	6
2566	8
2567	11
2568	9
2569	9
2570	9
2571	12
2572	15
2573	10
2574	7
2575	13
2576	9
2577	12
2578	7
2579	1
2580	8
2581	7
2582	7
2583	10
2584	9
2585	8
2586	11
2587	9
2588	17
2589	7
2590	16
2591	7
2592	12
2593	13
2594	14
2595	10
2596	9
2597	7
2598	11
2599	7
2600	9
2601	11
2602	9
2603	14
2604	8
2605	19
2606	6
2607	11
2608	9
2609	6
2610	9
2611	10
2612	14
2613	11
2614	9
2615	5
2616	8
2617	7
2618	8
2619	8
2620	13
2621	10
2622	14
2623	10
2624	15
2625	11
2626	6
2627	7
2628	15
2629	7
2630	9
2631	4
2632	3
2633	7
2634	16
2635	8
2636	8
2637	9
2638	9
2639	9
2640	12
2641	9
2642	8
2643	5
2644	15
2645	13
2646	7
2647	9
2648	11
2649	10
2650	9
2651	18
2652	13
2653	12
2654	10
2655	12
2656	12
2657	13
2658	18
2659	12
2660	10
2661	8
2662	7
2663	6
2664	13
2665	5
2666	13
2667	10
2668	5
2669	11
2670	6
2671	13
2672	14
2673	5
2674	7
2675	5
2676	6
2677	7
2678	13
2679	10
2680	6
2681	12
2682	8
2683	8
2684	12
2685	8
2686	8
2687	2
2688	15
2689	6
2690	5
2691	5
2692	10
2693	8
2694	15
2695	5
2696	8
2697	8
2698	5
2699	12
2700	8
2701	13
2702	8
2703	13
2704	12
2705	4
2706	11
2707	3
2708	9
2709	9
2710	7
2711	8
2712	13
2713	7
2714	10
2715	10
2716	15
2717	8
2718	11
2719	8
2720	11
2721	15
2722	12
2723	9
2724	10
2725	6
2726	11
2727	3
2728	14
2729	9
2730	8
2731	13
2732	12
2733	12
2734	12
2735	8
2736	8
2737	14
2738	9
2739	10
2740	12
2741	11
2742	11
2743	9
2744	11
2745	12
2746	9
2747	5
2748	12
2749	9
2750	10
2751	15
2752	11
2753	9
2754	8
2755	13
2756	11
2757	10
2758	7
