n,t_us,dec,bin,hex,volts
0,566,3947,111101101011,0xF6B,3.180732
1,1660,3932,111101011100,0xF5C,3.168645
2,2407,3907,111101000011,0xF43,3.148498
3,3123,3866,111100011010,0xF1A,3.115458
4,3842,3815,111011100111,0xEE7,3.074359
5,4561,3750,111010100110,0xEA6,3.021978
6,5273,3669,111001010101,0xE55,2.956703
7,5981,3568,110111110000,0xDF0,2.875311
8,6678,3478,110110010110,0xD96,2.802784
9,7408,3350,110100010110,0xD16,2.699634
10,8127,3226,110010011010,0xC9A,2.599707
11,8846,3101,110000011101,0xC1D,2.498974
12,9583,2955,101110001011,0xB8B,2.381319
13,13587,2081,100000100001,0x821,1.676996
14,14589,1859,011101000011,0x743,1.498095
15,15330,1693,011010011101,0x69D,1.364322
16,16070,1529,010111111001,0x5F9,1.232161
17,16795,1380,010101100100,0x564,1.112088
18,17514,1239,010011010111,0x4D7,0.998462
19,18223,1106,010001010010,0x452,0.891282
20,18935,974,001111001110,0x3CE,0.784908
21,19648,862,001101011110,0x35E,0.694652
22,20384,752,001011110000,0x2F0,0.606007
23,21119,658,001010010010,0x292,0.530256
24,21827,568,001000111000,0x238,0.457729
25,25035,365,000101101101,0x16D,0.294139
26,26024,355,000101100011,0x163,0.286081
27,26768,369,000101110001,0x171,0.297363
28,27492,402,000110010010,0x192,0.323956
29,28229,446,000110111110,0x1BE,0.359414
30,28955,501,000111110101,0x1F5,0.403736
31,29680,569,001000111001,0x239,0.458535
32,30400,667,001010011011,0x29B,0.537509
33,31109,748,001011101100,0x2EC,0.602784
34,31829,850,001101010010,0x352,0.684982
35,32537,956,001110111100,0x3BC,0.770403
36,33245,1079,010000110111,0x437,0.869524
37,33964,1220,010011000100,0x4C4,0.983150
38,34675,1366,010101010110,0x556,1.100806
39,35389,1514,010111101010,0x5EA,1.220073
40,36115,1675,011010001011,0x68B,1.349817
41,36836,1832,011100101000,0x728,1.476337
42,37558,2004,011111010100,0x7D4,1.614945
43,38269,2164,100001110100,0x874,1.743883
44,38986,2312,100100001000,0x908,1.863150
45,39778,2492,100110111100,0x9BC,2.008205
46,40479,2651,101001011011,0xA5B,2.136337
47,41208,2804,101011110100,0xAF4,2.259634
48,41916,2946,101110000010,0xB82,2.374066
49,42633,3090,110000010010,0xC12,2.490110
50,45813,3614,111000011110,0xE1E,2.912381
51,46785,3717,111010000101,0xE85,2.995384
52,47524,3798,111011010110,0xED6,3.060659
53,48246,3860,111100010100,0xF14,3.110623
54,48983,3899,111100111011,0xF3B,3.142051
55,49704,3929,111101011001,0xF59,3.166227
56,50428,3946,111101101010,0xF6A,3.179927
57,51148,3945,111101101001,0xF69,3.179121
58,51880,3929,111101011001,0xF59,3.166227
59,52602,3897,111100111001,0xF39,3.140440
60,53310,3857,111100010001,0xF11,3.108205
61,54029,3796,111011010100,0xED4,3.059047
62,54745,3725,111010001101,0xE8D,3.001832
63,55467,3637,111000110101,0xE35,2.930916
64,56178,3547,110111011011,0xDDB,2.858388
65,56893,3443,110101110011,0xD73,2.774579
66,57598,3325,110011111101,0xCFD,2.679487
67,58303,3197,110001111101,0xC7D,2.576337
68,59019,3075,110000000011,0xC03,2.478022
69,59725,2928,101101110000,0xB70,2.359560
70,60444,2771,101011010011,0xAD3,2.233040
71,61160,2624,101001000000,0xA40,2.114579
72,61878,2466,100110100010,0x9A2,1.987253
73,62577,2310,100100000110,0x906,1.861538
74,65779,1593,011000111001,0x639,1.283736
75,66768,1387,010101101011,0x56B,1.117729
76,67523,1236,010011010100,0x4D4,0.996044
77,68245,1099,010001001011,0x44B,0.885641
78,68973,970,001111001010,0x3CA,0.781685
79,69688,859,001101011011,0x35B,0.692234
80,70405,746,001011101010,0x2EA,0.601172
81,71136,651,001010001011,0x28B,0.524615
82,71862,571,001000111011,0x23B,0.460147
83,72610,497,000111110001,0x1F1,0.400513
84,73346,429,000110101101,0x1AD,0.345714
85,74065,404,000110010100,0x194,0.325568
86,74791,365,000101101101,0x16D,0.294139
87,75515,362,000101101010,0x16A,0.291722
88,76224,361,000101101001,0x169,0.290916
89,76935,374,000101110110,0x176,0.301392
90,77652,409,000110011001,0x199,0.329597
91,78369,453,000111000101,0x1C5,0.365055
92,79087,512,001000000000,0x200,0.412601
93,79800,582,001001000110,0x246,0.469011
94,80511,678,001010100110,0x2A6,0.546374
95,81227,757,001011110101,0x2F5,0.610037
96,81937,870,001101100110,0x366,0.701099
97,82651,988,001111011100,0x3DC,0.796190
98,83367,1116,010001011100,0x45C,0.899341
99,88106,2115,100001000011,0x843,1.704396
100,89097,2340,100100100100,0x924,1.885714
101,89854,2508,100111001100,0x9CC,2.021099
102,90592,2675,101001110011,0xA73,2.155678
103,91302,2826,101100001010,0xB0A,2.277363
104,92029,2968,101110011000,0xB98,2.391795
105,92770,3109,110000100101,0xC25,2.505421
106,93481,3247,110010101111,0xCAF,2.616630
107,94195,3366,110100100110,0xD26,2.712528
108,94917,3482,110110011010,0xD9A,2.806007
109,95637,3587,111000000011,0xE03,2.890623
110,96341,3679,111001011111,0xE5F,2.964762
111,97063,3759,111010101111,0xEAF,3.029231
112,97775,3824,111011110000,0xEF0,3.081612
113,98487,3885,111100101101,0xF2D,3.130769
114,99214,3914,111101001010,0xF4A,3.154139
115,99930,3934,111101011110,0xF5E,3.170256
116,100652,3948,111101101100,0xF6C,3.181538
117,101373,3938,111101100010,0xF62,3.173480
118,102080,3919,111101001111,0xF4F,3.158169
119,102789,3887,111100101111,0xF2F,3.132381
120,103590,3834,111011111010,0xEFA,3.089670
121,104303,3777,111011000001,0xEC1,3.043736
122,107483,3334,110100000110,0xD06,2.686740
123,108479,3166,110001011110,0xC5E,2.551355
124,109232,3023,101111001111,0xBCF,2.436117
125,109954,2879,101100111111,0xB3F,2.320073
126,110672,2719,101010011111,0xA9F,2.191136
127,111388,2573,101000001101,0xA0D,2.073480
128,112095,2411,100101101011,0x96B,1.942930
129,112805,2270,100011011110,0x8DE,1.829304
130,113510,2094,100000101110,0x82E,1.687472
131,114216,1940,011110010100,0x794,1.563370
132,114948,1772,011011101100,0x6EC,1.427985
133,115659,1607,011001000111,0x647,1.295018
134,116378,1467,010110111011,0x5BB,1.182198
135,117106,1313,010100100001,0x521,1.058095
136,117832,1179,010010011011,0x49B,0.950110
137,118537,1048,010000011000,0x418,0.844542
138,119256,924,001110011100,0x39C,0.744615
139,119980,812,001100101100,0x32C,0.654359
140,120701,712,001011001000,0x2C8,0.573773
141,121417,617,001001101001,0x269,0.497216
142,122128,542,001000011110,0x21E,0.436777
143,122850,461,000111001101,0x1CD,0.371502
144,123571,419,000110100011,0x1A3,0.337656
145,124278,401,000110010001,0x191,0.323150
146,127456,397,000110001101,0x18D,0.319927
147,128465,456,000111001000,0x1C8,0.367473
148,129217,525,001000001101,0x20D,0.423077
149,129945,598,001001010110,0x256,0.481905
150,130642,682,001010101010,0x2AA,0.549597
151,131360,779,001100001011,0x30B,0.627766
152,132069,893,001101111101,0x37D,0.719634
153,132787,982,001111010110,0x3D6,0.791355
154,133495,1138,010001110010,0x472,0.917070
155,134203,1273,010011111001,0x4F9,1.025861
156,134950,1421,010110001101,0x58D,1.145128
157,135655,1577,011000101001,0x629,1.270843
158,136384,1737,011011001001,0x6C9,1.399780
159,137097,1889,011101100001,0x761,1.522271
160,137804,2038,011111110110,0x7F6,1.642344
161,138525,2208,100010100000,0x8A0,1.779341
162,139246,2377,100101001001,0x949,1.915531
163,139975,2529,100111100001,0x9E1,2.038022
164,140703,2693,101010000101,0xA85,2.170183
165,141417,2848,101100100000,0xB20,2.295091
166,142121,2981,101110100101,0xBA5,2.402271
167,142827,3129,110000111001,0xC39,2.521538
168,143550,3262,110010111110,0xCBE,2.628718
169,146727,3724,111010001100,0xE8C,3.001026
170,147728,3817,111011101001,0xEE9,3.075971
171,148475,3873,111100100001,0xF21,3.121099
172,149182,3900,111100111100,0xF3C,3.142857
173,149914,3939,111101100011,0xF63,3.174286
174,150631,3936,111101100000,0xF60,3.171868
175,151350,3935,111101011111,0xF5F,3.171062
176,152059,3923,111101010011,0xF53,3.161392
177,152769,3893,111100110101,0xF35,3.137216
178,153485,3844,111100000100,0xF04,3.097729
179,154204,3784,111011001000,0xEC8,3.049377
180,154914,3708,111001111100,0xE7C,2.988132
181,155639,3617,111000100001,0xE21,2.914799
182,156353,3529,110111001001,0xDC9,2.843883
183,157069,3417,110101011001,0xD59,2.753626
184,157786,3290,110011011010,0xCDA,2.651282
185,158493,3165,110001011101,0xC5D,2.550550
186,159212,3024,101111010000,0xBD0,2.436923
187,159933,2877,101100111101,0xB3D,2.318461
188,160637,2740,101010110100,0xAB4,2.208059
189,161360,2576,101000010000,0xA10,2.075897
190,162079,2420,100101110100,0x974,1.950183
191,162800,2256,100011010000,0x8D0,1.818022
192,163507,2087,100000100111,0x827,1.681831
193,168334,1082,010000111010,0x43A,0.871941
194,169335,914,001110010010,0x392,0.736557
195,170084,798,001100011110,0x31E,0.643077
196,170800,696,001010111000,0x2B8,0.560879
197,171527,606,001001011110,0x25E,0.488352
198,172248,529,001000010001,0x211,0.426300
199,172959,471,000111010111,0x1D7,0.379560
