Frecuencia(Hz)	Magnitud(V)
0.00	0.00543
3.69	0.00809
7.39	0.00764
11.08	0.01292
14.78	0.01519
18.47	0.01439
22.17	0.00881
25.86	0.01259
29.56	0.01923
33.25	0.01681
36.95	0.01243
40.64	0.01793
44.34	0.02271
48.03	0.02212
51.73	0.01561
55.42	0.02498
59.12	0.03528
62.81	0.02741
66.51	0.02348
70.20	0.04289
73.90	0.05677
77.59	0.05658
81.29	0.04778
84.98	0.15243
88.67	0.26016
92.37	0.10322
96.06	0.09461
99.76	0.11067
103.45	0.07558
107.15	0.04464
110.84	0.01764
114.54	0.02322
118.23	0.02590
121.93	0.01475
125.62	0.00841
129.32	0.01229
133.01	0.01223
136.71	0.00925
140.40	0.00503
144.10	0.00778
147.79	0.01041
151.49	0.00770
155.18	0.00494
158.88	0.00832
162.57	0.00953
166.27	0.00836
169.96	0.00580
173.65	0.00742
177.35	0.00833
181.04	0.00642
184.74	0.00461
188.43	0.00607
192.13	0.00663
195.82	0.00587
199.52	0.00409
203.21	0.00479
206.91	0.00512
210.60	0.00377
214.30	0.00362
217.99	0.00428
221.69	0.00360
225.38	0.00231
229.08	0.00184
232.77	0.00331
236.47	0.00376
240.16	0.00244
243.86	0.00117
247.55	0.00191
251.25	0.00283
254.94	0.00267
258.63	0.00145
262.33	0.00154
266.02	0.00247
269.72	0.00217
273.41	0.00188
277.11	0.00257
280.80	0.00288
284.50	0.00213
288.19	0.00150
291.89	0.00272
295.58	0.00350
299.28	0.00263
302.97	0.00199
306.67	0.00268
310.36	0.00301
314.06	0.00204
317.75	0.00102
321.45	0.00233
325.14	0.00262
328.84	0.00128
332.53	0.00082
336.23	0.00146
339.92	0.00164
343.61	0.00126
347.31	0.00115
351.00	0.00168
354.70	0.00196
358.39	0.00155
362.09	0.00121
365.78	0.00162
369.48	0.00166
373.17	0.00132
376.87	0.00116
380.56	0.00206
384.26	0.00232
387.95	0.00180
391.65	0.00119
395.34	0.00161
399.04	0.00221
402.73	0.00192
406.43	0.00129
410.12	0.00164
413.82	0.00176
417.51	0.00141
421.21	0.00142
424.90	0.00170
428.59	0.00148
432.29	0.00106
435.98	0.00092
439.68	0.00115
443.37	0.00114
447.07	0.00073
450.76	0.00060
454.46	0.00069
458.15	0.00097
461.85	0.00067
465.54	0.00056
469.24	0.00072
472.93	0.00114
476.63	0.00123
480.32	0.00091
484.02	0.00104
487.71	0.00127
491.41	0.00101
495.10	0.00093
498.80	0.00131
502.49	0.00133
506.19	0.00113
509.88	0.00135
513.57	0.00166
517.27	0.00167
520.96	0.00138
524.66	0.00120
528.35	0.00146
532.05	0.00140
535.74	0.00107
539.44	0.00102
543.13	0.00131
546.83	0.00122
550.52	0.00088
554.22	0.00042
557.91	0.00044
561.61	0.00057
565.30	0.00054
569.00	0.00046
572.69	0.00054
576.39	0.00062
580.08	0.00068
583.78	0.00047
587.47	0.00078
591.17	0.00091
594.86	0.00058
598.55	0.00046
602.25	0.00080
605.94	0.00098
609.64	0.00075
613.33	0.00078
617.03	0.00130
620.72	0.00158
624.42	0.00139
628.11	0.00135
631.81	0.00154
635.50	0.00145
639.20	0.00120
642.89	0.00121
646.59	0.00140
650.28	0.00139
653.98	0.00108
657.67	0.00080
661.37	0.00076
665.06	0.00067
668.76	0.00058
672.45	0.00052
676.15	0.00087
679.84	0.00098
683.53	0.00077
687.23	0.00035
690.92	0.00043
694.62	0.00079
698.31	0.00082
702.01	0.00052
705.70	0.00058
709.40	0.00085
713.09	0.00091
716.79	0.00093
720.48	0.00098
724.18	0.00096
727.87	0.00085
731.57	0.00100
735.26	0.00129
738.96	0.00121
742.65	0.00098
746.35	0.00107
750.04	0.00126
753.74	0.00114
757.43	0.00076
761.13	0.00055
764.82	0.00071
768.51	0.00092
772.21	0.00081
775.90	0.00054
779.60	0.00066
783.29	0.00085
786.99	0.00080
790.68	0.00080
794.38	0.00100
798.07	0.00092
801.77	0.00072
805.46	0.00077
809.16	0.00096
812.85	0.00106
816.55	0.00085
820.24	0.00084
823.94	0.00114
827.63	0.00099
831.33	0.00072
835.02	0.00091
838.72	0.00115
842.41	0.00100
846.10	0.00093
849.80	0.00084
853.49	0.00080
857.19	0.00098
860.88	0.00096
864.58	0.00081
868.27	0.00075
871.97	0.00067
875.66	0.00051
879.36	0.00058
883.05	0.00083
886.75	0.00079
890.44	0.00055
894.14	0.00046
897.83	0.00055
901.53	0.00066
905.22	0.00043
908.92	0.00018
912.61	0.00064
916.31	0.00108
920.00	0.00093
923.70	0.00067
927.39	0.00059
931.08	0.00085
934.78	0.00116
938.47	0.00113
942.17	0.00110
