Tiempo(s)	Voltaje(V)
0.000063	1.12417
0.000654	1.15156
0.001191	1.04683
0.001722	1.00649
0.002250	1.00891
0.002811	1.00971
0.003343	1.04844
0.003871	1.15076
0.004399	1.22810
0.004948	1.32886
0.005478	1.51019
0.006007	1.71327
0.006535	1.90104
0.007061	2.05815
0.007590	2.18630
0.008118	2.25076
0.008647	2.26365
0.009198	2.25398
0.009726	2.19517
0.010254	2.08076
0.010782	1.92038
0.011309	1.73664
0.011837	1.54161
0.012366	1.35626
0.012895	1.21279
0.013424	1.08791
0.013958	1.05085
0.014497	1.00488
0.015027	1.01455
0.015555	1.08147
0.016082	1.19668
0.016611	1.35464
0.017142	1.41104
0.017703	1.49166
0.018231	1.68829
0.018759	1.87284
0.019288	2.03640
0.019817	2.16616
0.020344	2.23062
0.020872	2.26365
0.021400	2.21772
0.021929	2.12185
0.022457	1.97033
0.022985	1.79948
0.023513	1.61171
0.024041	1.41749
0.024568	1.24991
0.025098	1.11370
0.025626	1.02905
0.026154	1.00488
0.026684	1.02986
0.027213	1.11772
0.027741	1.25152
0.028268	1.42957
0.028796	1.62943
0.029323	1.81962
0.029852	1.99450
0.030380	2.12668
0.030907	2.22417
0.031436	2.27095
0.031964	2.23867
0.032494	2.16294
0.033022	2.02753
0.033550	1.86559
0.034078	1.83896
0.034661	1.86640
0.035189	1.68266
0.035720	1.49247
0.036247	1.30630
0.036774	1.15640
0.037302	1.03152
0.037831	1.01213
0.038358	1.03232
0.038887	1.10161
0.039415	1.20393
0.039944	1.37237
0.040471	1.55772
0.040999	1.75758
0.041528	1.93408
0.042058	2.08479
0.042586	2.18228
0.043114	2.26123
0.043641	2.25640
0.044171	2.19678
0.044699	2.09848
0.045228	1.94133
0.045756	1.75517
0.046284	1.55853
0.046812	1.36028
0.047339	1.20715
0.047867	1.07100
0.048396	1.01535
0.048924	1.00246
0.049453	1.04924
0.049983	1.13464
0.050513	1.29664
0.051040	1.47313
0.051567	1.65929
0.052096	1.84701
0.052626	2.01464
0.053154	2.15085
0.053683	2.23545
0.054213	2.26445
0.054742	2.23867
0.055271	2.17100
0.055800	2.02673
0.056326	1.85673
0.056856	1.67460
0.057386	1.48280
0.057913	1.30953
0.058442	1.15156
0.058970	1.05085
0.059498	1.00327
0.060027	1.01374
0.060554	1.08308
0.061081	1.20554
0.061611	1.37398
0.062138	1.56739
0.062666	1.74711
0.063196	1.93247
0.063725	2.08721
0.064252	2.20886
0.064781	2.25720
0.065310	2.24109
0.065838	2.18791
0.066366	2.06867
0.066893	1.94052
0.067422	1.74308
0.067950	1.87687
0.068577	2.01464
0.069106	1.86076
0.069634	1.66090
0.070162	1.46185
0.070691	1.29825
0.071218	1.15479
0.071746	1.05247
0.072275	1.00246
0.072803	1.00730
0.073332	1.09275
0.073860	1.22971
0.074388	1.37962
0.074915	1.57142
