Frecuencia(Hz)	Magnitud(V)
0.00	0.00100
1.85	0.00089
3.69	0.00066
5.54	0.00048
7.39	0.00040
9.24	0.00038
11.08	0.00033
12.93	0.00023
14.78	0.00018
16.63	0.00023
18.47	0.00026
20.32	0.00023
22.17	0.00017
24.01	0.00014
25.86	0.00015
27.71	0.00017
29.56	0.00020
31.40	0.00023
33.25	0.00024
35.10	0.00025
36.94	0.00025
38.79	0.00024
40.64	0.00018
42.49	0.00012
44.33	0.00016
46.18	0.00025
48.03	0.00028
49.88	0.00027
51.72	0.00022
53.57	0.00017
55.42	0.00014
57.26	0.00011
59.11	0.00008
60.96	0.00012
62.81	0.00020
64.65	0.00028
66.50	0.00036
68.35	0.00039
70.19	0.00035
72.04	0.00025
73.89	0.00014
75.74	0.00018
77.58	0.00030
79.43	0.00041
81.28	0.00045
83.13	0.00040
84.97	0.00030
86.82	0.00018
88.67	0.00010
90.51	0.00012
92.36	0.00020
94.21	0.00029
96.06	0.00037
97.90	0.00042
99.75	0.00044
101.60	0.00040
103.45	0.00032
105.29	0.00028
107.14	0.00036
108.99	0.00043
110.83	0.00044
112.68	0.00038
114.53	0.00030
116.38	0.00021
118.22	0.00014
120.07	0.00012
121.92	0.00024
123.76	0.00042
125.61	0.00056
127.46	0.00061
129.31	0.00060
131.15	0.00055
133.00	0.00046
134.85	0.00041
136.70	0.00047
138.54	0.00062
140.39	0.00070
142.24	0.00069
144.08	0.00064
145.93	0.00056
147.78	0.00047
149.63	0.00049
151.47	0.00064
153.32	0.00083
155.17	0.00096
157.01	0.00101
158.86	0.00099
160.71	0.00090
162.56	0.00073
164.40	0.00068
166.25	0.00101
168.10	0.00160
169.95	0.00200
171.79	0.00201
173.64	0.00186
175.49	0.00170
177.33	0.00152
179.18	0.00150
181.03	0.00223
182.88	0.00371
184.72	0.00444
186.57	0.00377
188.42	0.00408
190.27	0.00745
192.11	0.00877
193.96	0.00743
195.81	0.05069
197.65	0.10967
199.50	0.15184
201.35	0.14988
203.20	0.10624
205.04	0.05057
206.89	0.01284
208.74	0.00078
210.58	0.00319
212.43	0.00589
214.28	0.00508
216.13	0.00348
217.97	0.00296
219.82	0.00267
221.67	0.00188
223.52	0.00128
225.36	0.00158
227.21	0.00216
229.06	0.00232
230.90	0.00206
232.75	0.00173
234.60	0.00140
236.45	0.00109
238.29	0.00099
240.14	0.00112
241.99	0.00126
243.83	0.00123
245.68	0.00110
247.53	0.00098
249.38	0.00088
251.22	0.00074
253.07	0.00065
254.92	0.00070
256.77	0.00084
258.61	0.00095
260.46	0.00096
262.31	0.00083
264.15	0.00067
266.00	0.00058
267.85	0.00061
269.70	0.00067
271.54	0.00072
273.39	0.00071
275.24	0.00065
277.09	0.00061
278.93	0.00058
280.78	0.00057
282.63	0.00060
284.47	0.00066
286.32	0.00068
288.17	0.00063
290.02	0.00052
291.86	0.00040
293.71	0.00027
295.56	0.00019
297.40	0.00024
299.25	0.00036
301.10	0.00045
302.95	0.00049
304.79	0.00046
306.64	0.00039
308.49	0.00030
310.34	0.00023
312.18	0.00026
314.03	0.00034
315.88	0.00040
317.72	0.00040
319.57	0.00034
321.42	0.00024
323.27	0.00013
325.11	0.00006
326.96	0.00012
328.81	0.00027
330.65	0.00042
332.50	0.00051
334.35	0.00049
336.20	0.00040
338.04	0.00028
339.89	0.00017
341.74	0.00014
343.59	0.00020
345.43	0.00024
347.28	0.00023
349.13	0.00021
350.97	0.00022
352.82	0.00022
354.67	0.00018
356.52	0.00014
358.36	0.00017
360.21	0.00023
362.06	0.00027
363.91	0.00027
365.75	0.00024
367.60	0.00019
369.45	0.00016
371.29	0.00014
373.14	0.00017
374.99	0.00022
376.84	0.00026
378.68	0.00026
380.53	0.00024
382.38	0.00021
384.22	0.00021
386.07	0.00025
387.92	0.00030
389.77	0.00035
391.61	0.00037
393.46	0.00036
395.31	0.00032
397.16	0.00026
399.00	0.00020
400.85	0.00019
402.70	0.00023
404.54	0.00028
406.39	0.00030
408.24	0.00029
410.09	0.00025
411.93	0.00019
413.78	0.00012
415.63	0.00013
417.47	0.00022
419.32	0.00032
421.17	0.00035
423.02	0.00029
424.86	0.00017
426.71	0.00005
428.56	0.00003
430.41	0.00007
432.25	0.00014
434.10	0.00020
435.95	0.00024
437.79	0.00026
439.64	0.00026
441.49	0.00022
443.34	0.00019
445.18	0.00020
447.03	0.00025
448.88	0.00029
450.73	0.00031
452.57	0.00031
454.42	0.00031
456.27	0.00030
458.11	0.00025
459.96	0.00018
461.81	0.00017
463.66	0.00020
465.50	0.00019
467.35	0.00013
469.20	0.00011
471.04	0.00014
472.89	0.00018
474.74	0.00021
476.59	0.00022
478.43	0.00020
480.28	0.00017
482.13	0.00015
483.98	0.00016
485.82	0.00018
487.67	0.00019
489.52	0.00020
491.36	0.00022
493.21	0.00024
495.06	0.00024
496.91	0.00020
498.75	0.00016
500.60	0.00015
502.45	0.00015
504.29	0.00018
506.14	0.00021
507.99	0.00021
509.84	0.00017
511.68	0.00012
513.53	0.00008
515.38	0.00006
517.23	0.00006
519.07	0.00009
520.92	0.00013
522.77	0.00018
524.61	0.00026
526.46	0.00032
528.31	0.00031
530.16	0.00023
532.00	0.00013
533.85	0.00007
535.70	0.00008
537.55	0.00012
539.39	0.00015
541.24	0.00014
543.09	0.00010
544.93	0.00003
