Frecuencia(Hz)	Magnitud(V)
0.00	0.00631
14.78	0.00672
29.56	0.00699
44.34	0.00703
59.12	0.00763
73.90	0.00765
88.68	0.00864
103.46	0.00923
118.24	0.01078
133.02	0.01233
147.80	0.01586
162.58	0.02075
177.36	0.03424
192.14	0.09090
206.92	0.09495
221.70	0.03134
236.48	0.01913
251.26	0.01265
266.04	0.01032
280.82	0.00791
295.60	0.00684
310.38	0.00577
325.16	0.00513
339.93	0.00424
354.71	0.00405
369.49	0.00346
384.27	0.00343
399.05	0.00302
413.83	0.00283
428.61	0.00262
443.39	0.00251
458.17	0.00222
472.95	0.00215
487.73	0.00208
502.51	0.00197
517.29	0.00180
532.07	0.00177
546.85	0.00167
561.63	0.00157
576.41	0.00150
591.19	0.00159
605.97	0.00145
620.75	0.00145
635.53	0.00133
650.31	0.00127
665.09	0.00136
679.87	0.00132
694.65	0.00120
709.43	0.00118
724.21	0.00118
738.99	0.00115
753.77	0.00126
768.55	0.00118
783.33	0.00122
798.11	0.00119
812.89	0.00105
827.67	0.00104
842.45	0.00114
857.23	0.00106
872.01	0.00123
886.79	0.00109
901.57	0.00124
916.35	0.00102
931.13	0.00101
