Tiempo(s)	Voltaje(V)
0.000075	2.23062
0.000662	1.95100
0.001203	1.54161
0.001733	1.17976
0.002262	1.01133
0.002825	1.12014
0.003355	1.45460
0.003884	1.85995
0.004412	2.18147
0.004958	2.25962
0.005486	2.06384
0.006014	1.69716
0.006543	1.29261
0.007072	1.03796
0.007601	1.03796
0.008129	1.29019
0.008656	1.69555
0.009205	2.07512
0.009733	2.25962
0.010261	2.17986
0.010790	1.87123
0.011317	1.45702
0.011846	1.12095
0.012378	1.00569
0.012915	1.15801
0.013446	1.52389
0.013975	1.92844
0.014504	2.21128
0.015032	2.24673
0.015559	2.02915
0.016088	1.63507
0.016616	1.24668
0.017144	1.02744
0.017705	1.05327
0.018235	1.37237
0.018764	1.77128
0.019292	2.12507
0.019820	2.26365
0.020348	2.13957
0.020877	1.80431
0.021406	1.39573
0.021932	1.08389
0.022461	1.01133
0.022988	1.20071
0.023516	1.57626
0.024045	1.97355
0.024573	2.23303
0.025101	2.23384
0.025630	1.98081
0.026157	1.58109
0.026687	1.20313
0.027216	1.01697
0.027745	1.08550
0.028272	1.38929
0.028800	1.79464
0.029328	2.13796
0.029856	2.26445
0.030384	2.12749
0.030912	1.77531
0.031440	1.36753
0.031970	1.07019
0.032498	1.01777
0.033025	1.22327
0.033552	1.60526
0.034081	2.01464
0.034663	2.24995
0.035194	2.20242
0.035722	1.91716
0.036252	1.51019
0.036781	1.15317
0.037309	0.99038
0.037837	1.12256
0.038366	1.45702
0.038893	1.86962
0.039421	2.18308
0.039949	2.25962
0.040477	2.07512
0.041005	1.70360
0.041534	1.30630
0.042062	1.04602
0.042589	1.03877
0.043116	1.28616
0.043645	1.67943
0.044174	2.05493
0.044702	2.25720
0.045232	2.19194
0.045761	1.88735
0.046290	1.47796
0.046817	1.13626
0.047346	1.00166
0.047874	1.13706
0.048402	1.48763
0.048930	1.89379
0.049458	2.19436
0.049986	2.25479
0.050515	2.05412
0.051043	1.67460
0.051573	1.27730
0.052104	1.03555
0.052631	1.04602
0.053159	1.30953
0.053687	1.71810
0.054216	2.07995
0.054745	2.26284
0.055273	2.17664
0.055802	1.85834
0.056331	1.45057
0.056860	1.11531
0.057387	1.00649
0.057916	1.15559
0.058445	1.51019
0.058973	1.92763
0.059502	2.20886
0.060031	2.24915
0.060562	2.02431
0.061091	1.64393
0.061619	1.24507
0.062147	1.02019
0.062675	1.05972
0.063203	1.33692
0.063731	1.74791
0.064259	2.10574
0.064788	2.26445
0.065317	2.15972
0.065844	1.83090
0.066375	1.41588
0.066903	1.09758
0.067430	1.00971
0.067959	1.20554
0.068584	1.63185
0.069113	2.02351
0.069641	2.24270
0.070170	2.20967
0.070699	1.93488
0.071227	1.52872
0.071754	1.16768
0.072282	1.00407
0.072810	1.10806
0.073337	1.43360
0.073865	1.85104
0.074394	2.16777
0.074924	2.26043
0.075451	2.08882
0.075980	1.72052
0.076514	1.30791
0.077056	1.03474
0.077587	1.03152
0.078116	1.28133
0.078645	1.68024
0.079175	2.04929
0.079703	2.25640
0.080232	2.19678
0.080759	1.88896
0.081288	1.47877
0.081818	1.13626
0.082346	1.00246
0.082873	1.14028
0.083402	1.48521
0.083931	1.89782
0.084460	2.19517
0.084988	2.25317
0.085517	2.05332
0.086046	1.66896
0.086575	1.28133
0.087102	1.03393
0.087631	1.04441
0.088159	1.30630
0.088686	1.71247
0.089214	2.08157
0.089742	2.25720
0.090270	2.17905
0.090800	1.85995
0.091331	1.44896
0.091859	1.11692
0.092385	1.00488
0.092914	1.16043
0.093441	1.51583
0.093970	1.92280
0.094498	2.20806
0.095027	2.24673
0.095556	2.03156
0.096083	1.63588
0.096612	1.25313
0.097139	1.02099
0.097668	1.05408
0.098196	1.32322
0.098725	1.73825
0.099254	2.10332
0.099781	2.26445
0.100311	2.16052
0.100839	1.83090
0.101367	1.42554
0.101896	1.09919
0.102424	1.00488
0.102954	1.17896
0.103482	1.54806
0.104010	1.94455
0.104539	2.22175
0.105067	2.24431
0.105596	1.99772
0.106125	1.60848
0.106653	1.22649
0.107181	1.01535
0.107710	1.07180
0.108238	1.36512
0.108765	1.77370
0.109294	2.11943
0.109821	2.26607
0.110351	2.13796
0.110882	1.79948
0.111409	1.38768
0.111937	1.08066
0.112465	1.01374
0.112995	1.20393
0.113523	1.57867
0.114051	1.98081
0.114580	2.23384
0.115107	2.23223
0.115634	1.97597
0.116162	1.57787
0.116690	1.20232
0.117219	1.01455
0.117747	1.08872
0.118273	1.38365
0.118802	1.79545
0.119330	2.13957
0.119860	2.26365
0.120390	2.12749
0.120919	1.76000
0.121446	1.36431
0.121975	1.06858
0.122503	1.01858
0.123031	1.22488
0.123559	1.61009
0.124088	2.00417
0.124617	2.23867
0.125145	2.22095
0.125674	1.94858
0.126202	1.55128
0.126729	1.18298
0.127259	1.00810
0.127787	1.10806
0.128317	1.42232
0.128844	1.83009
0.129374	2.16052
0.129902	2.26284
0.130430	2.10251
0.130959	1.73905
0.131487	1.33692
0.132014	1.05247
0.132541	1.02341
0.133069	1.24910
0.133597	1.63910
0.134127	2.02673
0.134655	2.24753
0.135182	2.20806
0.135712	1.86076
0.136416	1.38848
0.136944	1.08147
0.137472	1.01697
0.138001	1.18862
0.138530	1.59559
0.139060	1.98242
0.139587	2.23787
0.140116	2.23062
0.140670	1.94858
0.141205	1.54483
0.141734	1.17896
0.142263	1.00971
0.142792	1.10242
0.143321	1.41749
0.143849	1.84137
0.144378	2.14763
0.144910	2.26123
0.145439	2.09768
0.145968	1.73261
