Tiempo(s)	Voltaje(V)
0.000062	2.18147
0.000649	2.25559
0.001190	2.04607
0.001721	1.66735
0.002249	1.25555
0.002814	1.01616
0.003345	1.05730
0.003873	1.33853
0.004403	1.75355
0.004950	2.11540
0.005483	2.26284
0.006012	2.14441
0.006539	1.80753
0.007067	1.39896
0.007596	1.08308
0.008125	1.00971
0.008652	1.20554
0.009203	1.58592
0.009731	1.98081
0.010260	2.23867
0.010789	2.22417
0.011317	1.96872
0.011845	1.56659
0.012375	1.19507
0.012902	1.00891
0.013430	1.09275
0.013960	1.39815
0.014488	1.80915
0.015016	2.14360
0.015544	2.26687
0.016071	2.11621
0.016600	1.76403
0.017130	1.34014
0.017687	1.05085
0.018224	1.02583
0.018754	1.25635
0.019283	1.65043
0.019813	2.03640
0.020342	2.25076
0.020871	2.20322
0.021399	1.91393
0.021927	1.50536
0.022455	1.14995
0.022984	1.00246
0.023511	1.11934
0.024040	1.46024
0.024568	1.87446
0.025096	2.17986
0.025624	2.25720
0.026153	2.06867
0.026684	1.69555
0.027212	1.30630
0.027740	1.04038
0.028268	1.03635
0.028797	1.28616
0.029327	1.68346
0.029855	2.05815
0.030381	2.25317
0.030912	2.18953
0.031440	1.88010
0.031969	1.47152
0.032497	1.13142
0.033025	1.00166
0.033553	1.13626
0.034081	1.51261
0.034670	1.94697
0.035199	2.21772
0.035727	2.24109
0.036255	2.00820
0.036783	1.61896
0.037311	1.22971
0.037839	1.02099
0.038368	1.06455
0.038896	1.35867
0.039425	1.76161
0.039954	2.11379
0.040482	2.26607
0.041010	2.14763
0.041537	1.81156
0.042064	1.40057
0.042591	1.08308
0.043120	1.00891
0.043647	1.19426
0.044177	1.56578
0.044707	1.96469
0.045236	2.22659
0.045766	2.22820
0.046294	1.98081
0.046822	1.58512
0.047351	1.20796
0.047881	1.01455
0.048410	1.07905
0.048938	1.38848
0.049466	1.80028
0.049994	2.13393
0.050522	2.26445
0.051051	2.12588
0.051579	1.77611
0.052110	1.36673
0.052638	1.07180
0.053167	1.01616
0.053696	1.22005
0.054224	1.60204
0.054751	2.00659
0.055280	2.23464
0.055809	2.21531
0.056336	1.95341
0.056864	1.55531
0.057393	1.18379
0.057924	1.00810
0.058454	1.09436
0.058983	1.41668
0.059511	1.82284
0.060040	2.16133
0.060569	2.26284
0.061097	2.10332
0.061625	1.74147
0.062153	1.33853
0.062680	1.05730
0.063208	1.02180
0.063738	1.24829
0.064268	1.63588
0.064796	2.02351
0.065324	2.24512
0.065853	2.20725
0.066382	1.92360
0.066910	1.52228
0.067440	1.15479
0.067969	1.00488
0.068594	1.16204
0.069120	1.51664
0.069649	1.92924
0.070179	2.20886
0.070709	2.24673
0.071237	2.02028
0.071766	1.63749
0.072294	1.24507
0.072822	1.02180
0.073349	1.06052
0.073878	1.33853
0.074407	1.73825
0.074935	2.09043
0.075463	2.25962
0.075991	2.15810
0.076519	1.82284
0.077047	1.41507
0.077575	1.09517
0.078105	1.00730
0.078632	1.17573
0.079161	1.55531
0.079689	1.95502
0.080219	2.22256
0.080747	2.23706
0.081275	2.00417
0.081807	1.59237
0.082342	1.20877
0.082872	1.01535
0.083401	1.07422
0.083929	1.37881
0.084458	1.78900
0.084988	2.12991
0.085517	2.26123
0.086047	2.12991
0.086576	1.78336
0.087104	1.37237
0.087633	1.07502
0.088161	1.01697
0.088690	1.21682
0.089219	1.60043
0.089748	1.99370
0.090277	2.23948
0.090807	2.22175
0.091334	1.96228
0.091864	1.55531
0.092393	1.18218
0.092921	1.01294
0.093447	1.09678
0.093975	1.41346
0.094504	1.81962
0.095032	2.15247
0.095560	2.26526
0.096090	2.10493
0.096617	1.74872
0.097146	1.34095
0.097673	1.05891
0.098202	1.02019
0.098731	1.24507
0.099260	1.63185
0.099789	2.02190
0.100317	2.24351
0.100846	2.21209
0.101375	1.92602
0.101904	1.52308
0.102431	1.16284
0.102960	0.99924
0.103488	1.11047
0.104016	1.43763
0.104544	1.84460
0.105073	2.17261
0.105601	2.25881
0.106131	2.08237
0.106660	1.70844
0.107188	1.31436
0.107715	1.04441
0.108244	1.02986
0.108774	1.26360
0.109303	1.66332
0.109830	2.05654
0.110358	2.25237
0.110891	2.19678
0.111419	1.89379
0.111947	1.48924
0.112476	1.14190
0.113006	1.00005
0.113534	1.13464
0.114062	1.47716
0.114590	1.88493
0.115118	2.19114
