tiempo_s,voltaje_v
0.000000,2.17905
0.000500,1.45460
0.001000,1.04360
0.001500,1.06374
0.002000,1.45218
0.002500,1.97436
0.003000,2.25156
0.003500,2.13071
0.004000,1.68668
0.004500,1.19910
0.005000,1.01294
0.005500,1.21199
0.006000,1.69635
0.006500,2.13232
0.007000,2.25559
0.007500,1.96550
0.008000,1.46024
0.008500,1.05166
0.009000,1.05649
0.009500,1.43602
0.010000,1.95019
0.010500,2.25479
0.011000,2.15327
0.011500,1.73583
0.012000,1.24104
0.012500,1.00005
0.013000,1.17332
0.013500,1.63265
0.014000,2.09123
0.014500,2.25962
0.015000,2.04204
0.015500,1.43038
0.016000,1.03957
0.016500,1.09275
0.017000,1.50616
0.017500,1.98886
0.018000,2.25640
0.018500,2.11460
0.019000,1.67218
0.019500,1.20635
0.020000,1.00327
0.020500,1.19990
0.021000,1.67621
0.021500,2.12346
0.022000,2.25801
0.022500,1.98645
0.023000,1.48844
0.023500,1.08711
0.024000,1.03232
0.024500,1.34820
0.025000,1.85754
0.025500,2.22336
0.026000,2.20081
0.026500,1.81076
0.027000,1.32161
0.027500,1.01938
0.028000,1.09919
0.028500,1.52066
0.029000,2.01626
0.029500,2.25962
0.030000,1.20393
0.030500,1.80834
0.031000,2.20322
0.031500,2.21289
0.032000,1.85346
0.032500,1.31517
0.033000,1.01777
0.033500,1.12659
0.034000,1.56095
0.034500,2.04687
0.035000,2.26043
0.035500,2.08237
0.036000,1.62540
0.036500,1.12014
0.037000,1.01455
0.037500,1.31194
0.038000,1.79706
0.038500,2.18872
0.039000,2.22417
0.039500,1.88090
0.040000,1.37962
0.040500,1.03716
0.041000,1.07341
0.041500,1.46427
0.042000,1.96389
0.042500,2.25237
0.043000,2.14521
0.043500,1.72536
0.044000,1.24266
0.044500,1.00891
0.045000,1.17332
0.045500,1.64071
0.046000,2.09848
0.046500,2.26123
0.047000,2.02592
0.047500,1.53517
0.048000,1.10967
0.048500,1.01858
0.049000,1.31517
0.049500,1.80753
0.050000,2.21289
0.050500,2.21934
0.051000,1.86801
0.051500,1.37640
0.052000,1.03796
0.052500,1.07341
0.053000,1.45863
0.053500,1.95422
0.054000,2.24673
0.054500,2.15488
0.055000,1.71810
0.055500,1.23943
0.056000,1.01133
0.056500,1.16123
0.057000,1.61332
0.057500,2.07834
0.058000,2.26123
0.058500,2.05815
0.059000,1.56981
0.059500,1.13303
0.060000,2.24109
0.060500,1.81398
0.061000,1.28938
0.061500,1.00730
0.062000,1.12900
0.062500,1.56900
0.063000,2.04284
0.063500,2.26445
0.064000,2.08076
0.064500,1.51180
0.065000,1.09355
0.065500,1.02502
0.066000,1.34256
0.066500,1.83896
0.067000,2.21047
0.067500,2.21531
0.068000,1.85426
0.068500,1.35948
0.069000,1.03152
0.069500,1.08389
0.070000,1.48844
0.070500,1.97919
0.071000,2.25237
0.071500,2.13555
0.072000,1.70199
0.072500,1.20957
0.073000,1.00005
0.073500,1.19668
0.074000,1.66010
0.074500,2.10171
0.075000,2.25801
0.075500,2.00659
0.076000,1.52308
0.076500,1.10403
0.077000,1.01777
0.077500,1.32645
0.078000,1.82607
0.078500,2.20483
0.079000,2.21531
0.079500,1.85915
0.080000,1.35948
0.080500,1.03152
0.081000,1.09355
0.081500,1.49408
0.082000,1.98725
0.082500,2.25479
0.083000,2.09848
0.083500,1.62460
0.084000,1.16687
0.084500,1.00407
0.085000,1.23294
0.085500,1.71649
0.086000,2.14280
0.086500,2.24995
0.087000,1.95986
0.087500,1.46346
0.088000,1.06616
0.088500,1.04119
0.089000,1.38526
0.089500,1.89540
0.090000,1.01133
0.090500,1.18943
0.091000,1.69071
0.091500,2.13635
0.092000,2.25076
0.092500,1.96630
0.093000,1.46910
0.093500,1.07825
0.094000,1.03474
0.094500,1.36673
0.095000,1.88815
0.095500,2.22739
0.096000,2.18791
0.096500,1.81720
0.097000,1.32967
0.097500,1.01858
0.098000,1.10645
0.098500,1.53355
0.099000,2.01384
0.099500,2.25801
0.100000,2.10493
0.100500,1.68265
0.101000,1.24427
0.101500,1.00730
0.102000,1.11128
0.102500,1.49005
0.103000,1.94697
0.103500,2.23545
0.104000,2.20242
0.104500,1.85265
0.105000,1.39009
0.105500,1.05810
0.106000,1.03393
0.106500,1.32886
0.107000,1.77934
0.107500,2.15408
0.108000,2.25237
0.108500,2.02431
0.109000,1.59398
0.109500,1.17332
0.110000,1.00407
0.110500,1.16123
0.111000,1.57464
0.111500,2.01384
0.112000,2.25156
0.112500,2.16294
0.113000,1.78739
0.113500,1.33531
0.114000,1.03635
0.114500,1.05247
0.115000,1.37881
0.115500,1.83976
0.116000,2.18711
0.116500,2.24270
0.117000,1.95986
0.117500,1.50858
0.118000,1.12256
0.118500,1.00569
0.119000,1.21843
0.119500,1.65687
0.120000,1.14834
0.120500,1.02583
0.121000,1.34256
0.121500,1.80995
0.122000,2.17019
0.122500,2.25479
0.123000,1.99450
0.123500,1.55209
0.124000,1.14915
0.124500,1.00005
0.125000,1.18943
0.125500,1.61412
0.126000,2.05090
0.126500,2.25801
0.127000,2.13232
0.127500,1.73583
0.128000,1.27730
0.128500,1.00730
0.129000,1.22085
0.129500,1.65607
0.130000,2.07834
0.130500,2.26123
0.131000,2.11057
0.131500,1.69393
0.132000,1.24829
0.132500,1.00891
0.133000,1.11047
0.133500,1.49730
0.134000,1.95341
0.134500,2.23787
0.135000,2.19597
0.135500,1.86398
0.136000,1.40137
0.136500,1.06455
